,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 00:00:00,0.0,106.974,106.98,106.963,106.972,1000000.0,106.972,106.977,106.963,106.97,1000000.0,0.0,0.0
2018-03-13 00:01:00,0.0,106.985,106.986,106.972,106.974,1000000.0,106.983,106.983,106.97,106.972,1000000.0,0.0,0.0
2018-03-13 00:02:00,0.0,107.006,107.018,106.984,106.985,1000000.0,107.004,107.016,106.983,106.983,1000000.0,0.0,0.0
2018-03-13 00:03:00,0.0,107.021,107.026,107.005,107.006,1000000.0,107.02,107.025,107.003,107.004,1000000.0,0.0,0.0
2018-03-13 00:04:00,0.0,106.982,107.021,106.969,107.021,1000000.0,106.979,107.02,106.967,107.02,1000000.0,0.0,0.0
2018-03-13 00:05:00,0.0,106.985,106.985,106.963,106.982,1000000.0,106.983,106.983,106.961,106.979,1000000.0,0.0,0.0
2018-03-13 00:06:00,0.0,106.997,106.997,106.977,106.985,1000000.0,106.995,106.995,106.976,106.983,1000000.0,0.0,0.0
2018-03-13 00:07:00,0.0,106.974,107.002,106.973,106.997,1000000.0,106.972,107.0,106.971,106.995,1000000.0,0.0,0.0
2018-03-13 00:08:00,0.0,106.984,106.994,106.97,106.974,1000000.0,106.983,106.992,106.968,106.972,1000000.0,0.0,0.0
2018-03-13 00:09:00,0.0,106.982,106.996,106.977,106.984,1000000.0,106.981,106.993,106.975,106.983,1000000.0,0.0,0.0
2018-03-13 00:10:00,0.0,106.974,106.992,106.974,106.982,1000000.0,106.974,106.99,106.972,106.981,1000000.0,0.0,0.0
2018-03-13 00:11:00,0.0,106.985,106.986,106.974,106.974,1000000.0,106.983,106.984,106.974,106.974,1000000.0,0.0,0.0
2018-03-13 00:12:00,0.0,106.994,106.994,106.978,106.985,1000000.0,106.992,106.993,106.977,106.983,1000000.0,0.0,0.0
2018-03-13 00:13:00,0.0,107.014,107.034,106.994,106.994,1000000.0,107.011,107.032,106.992,106.992,1000000.0,0.0,0.0
2018-03-13 00:14:00,0.0,106.978,107.016,106.978,107.014,1000000.0,106.979,107.015,106.979,107.011,1000000.0,0.0,0.0
2018-03-13 00:15:00,0.0,106.96,106.978,106.959,106.978,1000000.0,106.961,106.979,106.96,106.979,1000000.0,0.0,0.0
2018-03-13 00:16:00,0.0,106.962,106.976,106.952,106.96,1000000.0,106.963,106.974,106.951,106.961,1000000.0,0.0,0.0
2018-03-13 00:17:00,0.0,106.959,106.974,106.955,106.962,1000000.0,106.959,106.973,106.957,106.963,1000000.0,0.0,0.0
2018-03-13 00:18:00,0.0,106.952,106.967,106.951,106.959,1000000.0,106.95,106.966,106.949,106.959,1000000.0,0.0,0.0
2018-03-13 00:19:00,0.0,106.949,106.955,106.943,106.952,1000000.0,106.949,106.955,106.941,106.95,1000000.0,0.0,0.0
2018-03-13 00:20:00,0.0,106.956,106.963,106.946,106.949,1000000.0,106.953,106.962,106.943,106.949,1000000.0,0.0,0.0
2018-03-13 00:21:00,0.0,106.935,106.956,106.93,106.956,1000000.0,106.934,106.953,106.929,106.953,1000000.0,0.0,0.0
2018-03-13 00:22:00,0.0,106.949,106.951,106.931,106.935,1000000.0,106.948,106.949,106.929,106.934,1000000.0,0.0,0.0
2018-03-13 00:23:00,0.0,106.944,106.953,106.942,106.949,1000000.0,106.944,106.954,106.941,106.948,1000000.0,0.0,0.0
2018-03-13 00:24:00,0.0,106.932,106.954,106.932,106.944,1000000.0,106.931,106.953,106.931,106.944,1000000.0,0.0,0.0
2018-03-13 00:25:00,0.0,106.948,106.948,106.932,106.932,1000000.0,106.947,106.947,106.931,106.931,1000000.0,0.0,0.0
2018-03-13 00:26:00,0.0,106.95,106.953,106.948,106.948,1000000.0,106.95,106.952,106.947,106.947,1000000.0,0.0,0.0
2018-03-13 00:27:00,0.0,106.95,106.951,106.948,106.95,1000000.0,106.95,106.951,106.948,106.95,1000000.0,0.0,0.0
2018-03-13 00:28:00,0.0,106.939,106.95,106.939,106.95,1000000.0,106.939,106.95,106.939,106.95,1000000.0,0.0,0.0
2018-03-13 00:29:00,0.0,106.938,106.948,106.937,106.939,1000000.0,106.937,106.947,106.937,106.939,1000000.0,0.0,0.0
2018-03-13 00:30:00,0.0,106.933,106.94,106.928,106.938,1000000.0,106.933,106.939,106.927,106.937,1000000.0,0.0,0.0
2018-03-13 00:31:00,0.0,106.928,106.936,106.927,106.933,1000000.0,106.927,106.936,106.925,106.933,1000000.0,0.0,0.0
2018-03-13 00:32:00,0.0,106.917,106.932,106.913,106.928,1000000.0,106.917,106.931,106.913,106.927,1000000.0,0.0,0.0
2018-03-13 00:33:00,0.0,106.917,106.924,106.917,106.917,1000000.0,106.916,106.924,106.916,106.917,1000000.0,0.0,0.0
2018-03-13 00:34:00,0.0,106.904,106.919,106.891,106.917,1000000.0,106.903,106.918,106.89,106.916,1000000.0,0.0,0.0
2018-03-13 00:35:00,0.0,106.899,106.908,106.891,106.904,1000000.0,106.897,106.906,106.889,106.903,1000000.0,0.0,0.0
2018-03-13 00:36:00,0.0,106.9,106.91,106.896,106.899,1000000.0,106.899,106.908,106.895,106.897,1000000.0,0.0,0.0
